NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2020 Raw,2021 Raw,2022 Raw
209,"2","2","3","2","3","4","3","3","3","3","5","5","8","7","14","15","14","14","14","12"
210,"1","2","2","1","2","1","1","1","2","3","1","4","3","2","4","3","3","2","4","7"
211,"0","3","2","1","2","2","3","2","2","1","1","7","6","3","4","6","7","6","4","2"
212,"11","15","12","14","22","23","16","26","29","19","14","21","17","19","30","33","23","38","43","28"
213,"1","1","2","2","1","2","1","0","1","0","1","2","3","3","2","3","1","0","2","0"
215,"1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","1"
216,"0","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","0","0"
217,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
218,"0","1","2","2","3","4","2","3","4","3","0","3","5","4","6","11","5","7","10","7"
219,"8","7","9","19","14","13","11","13","15","11","13","14","17","47","35","33","39","45","51","37"
220,"--","2","6","--","--","3","3","3","3","--","0","3","10","0","0","5","5","5","5","0"
221,"2","2","2","4","7","5","9","9","7","2","5","5","5","10","20","13","22","23","19","6"
222,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
223,"6","14","12","12","12","10","6","12","13","4","11","26","23","23","22","18","12","24","25","7"
224,"0","2","1","0","2","2","1","0","2","1","1","4","3","1","4","4","3","1","4","2"
225,"5","1","1","1","1","2","3","4","3","0","5","1","2","1","1","3","3","4","3","0"
226,"4","1","0","0","2","1","1","1","0","1","3","1","0","0","2","1","1","1","0","1"
227,"0","1","2","6","3","2","2","1","1","0","1","3","5","14","7","6","4","2","2","0"
228,"2","0","5","0","0","4","2","1","1","2","1","0","3","0","0","2","2","1","1","2"
229,"3","4","9","9","5","6","3","3","3","3","7","8","20","21","12","17","16","14","14","13"
230,"4","3","2","5","4","4","3","6","6","4","7","6","5","12","9","11","7","16","17","12"
231,"1","1","2","2","1","3","4","4","4","4","1","1","5","5","4","8","9","10","9","9"
232,"2","0","1","1","3","3","4","2","5","1","4","1","2","3","7","7","11","6","14","4"
233,"1","1","1","2","2","1","0","1","1","2","2","2","3","4","6","3","1","2","4","5"
234,"5","11","8","14","11","9","7","9","10","9","19","29","22","38","30","23","31","38","45","39"
235,"0","0","1","2","0","0","0","0","0","0","0","1","2","5","1","1","0","0","0","1"
236,"1","0","1","1","0","0","0","1","1","1","1","0","1","1","0","0","0","2","1","1"
237,"5","6","7","6","5","6","5","7","6","5","11","17","20","17","14","18","17","22","20","15"
238,"3","7","6","7","5","5","5","7","9","7","6","16","14","17","13","12","11","18","22","17"
240,"3","7","6","7","7","2","5","8","4","2","4","11","10","11","12","4","9","16","8","4"
241,"1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","0","2","0","0","1"
242,"0","6","1","3","2","2","2","2","2","1","0","9","1","5","3","3","3","3","4","2"
243,"0","8","0","0","0","0","1","0","1","3","0","1","0","0","0","0","1","0","1","3"
244,"0","2","1","1","1","2","2","3","1","0","0","3","2","2","2","3","3","6","2","0"
245,"8","2","10","7","4","6","11","15","13","6","10","3","14","10","6","8","15","20","18","8"
246,"6","7","3","5","2","7","6","6","7","6","12","16","7","11","5","16","13","13","15","13"
247,"15","10","9","14","13","16","12","11","18","18","15","11","10","16","15","18","13","12","19","19"
248,"7","8","7","12","11","9","9","8","8","8","12","15","13","21","20","17","15","13","13","13"
249,"21","20","22","20","22","21","17","18","19","19","26","33","37","34","36","35","22","23","24","25"
250,"0","1","1","1","1","1","0","0","0","0","0","2","2","1","1","2","0","1","1","1"
251,"1","0","2","0","2","1","2","1","0","4","1","0","3","0","3","1","4","2","1","8"
252,"0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0"
253,"1","0","0","0","0","2","1","0","2","0","3","1","1","0","1","4","2","1","4","0"
254,"4","7","6","1","6","2","2","7","2","9","2","4","3","1","6","2","2","9","2","11"
255,"1","0","0","0","0","1","0","0","0","1","2","0","1","0","1","3","1","1","0","3"
256,"1","0","0","0","0","0","0","1","1","0","2","1","1","1","1","0","1","5","7","0"
257,"1","1","0","1","0","1","1","1","0","2","2","2","1","3","2","4","6","4","2","8"
258,"4","3","6","11","7","5","6","4","6","5","12","8","19","33","22","17","19","12","19","16"
259,"3","3","6","4","6","6","5","6","7","10","8","7","14","11","16","14","13","14","18","25"
260,"4","5","6","6","4","8","4","6","7","7","15","20","21","23","16","29","17","31","34","34"
261,"3","0","1","0","1","1","1","1","1","2","6","1","3","1","2","2","3","2","2","4"
262,"0","1","0","1","0","1","0","1","0","1","0","3","1","3","0","2","0","2","0","2"
263,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0"
264,"3","2","2","1","2","2","2","1","1","3","6","3","5","2","5","4","4","3","3","7"
265,"2","1","0","0","1","1","0","1","1","0","3","2","0","0","1","1","0","2","1","0"
266,"0","1","2","2","2","1","2","2","3","2","0","4","7","6","6","3","7","6","10","6"
267,"0","1","0","1","1","1","3","1","1","2","2","4","2","3","4","3","13","6","4","10"
268,"2","1","2","1","4","2","4","3","2","1","3","2","3","2","8","4","7","6","3","2"
269,"0","1","1","0","0","0","0","1","1","1","1","3","3","1","1","0","1","2","2","4"
270,"8","8","9","8","4","5","15","8","9","4","10","11","12","11","5","7","20","10","12","5"
271,"3","9","5","5","8","7","5","4","4","7","3","11","6","6","10","9","6","5","5","8"
272,"7","6","3","4","10","5","5","6","12","7","10","8","5","6","14","7","7","9","18","11"
273,"1","0","2","2","1","3","1","2","2","3","2","0","4","3","2","5","3","4","6","8"
274,"3","2","5","6","5","2","3","7","10","4","3","2","5","6","5","2","3","7","10","4"
275,"2","1","3","1","3","3","1","4","7","2","5","2","7","3","7","7","3","9","14","5"
276,"1","1","1","2","1","0","2","2","3","4","2","1","1","3","1","0","4","4","6","7"
277,"2","3","1","1","1","2","2","1","1","1","2","5","1","2","3","4","5","3","3","4"
278,"2","3","3","2","4","1","4","6","10","11","3","4","4","4","7","2","6","9","16","17"
279,"1","1","0","1","2","2","3","3","5","3","1","2","0","2","3","3","5","5","7","5"
280,"7","7","6","12","13","20","11","7","7","8","13","9","8","15","17","26","24","14","15","16"
281,"1","4","3","7","3","7","4","6","5","7","1","4","3","7","3","7","5","7","6","8"
282,"0","4","0","3","1","3","3","5","1","2","0","5","0","4","2","4","4","8","2","3"
283,"6","4","3","4","3","4","6","6","6","3","14","11","7","10","8","11","15","15","15","8"
284,"1","0","1","0","1","0","2","1","1","1","1","0","1","0","1","1","5","2","2","3"
285,"--","--","--","313","529","--","--","--","--","--","0","0","0","5","9","0","0","0","0","0"
286,"7","21","26","17","27","12","4","4","2","10","5","4","5","3","5","2","3","3","2","8"
287,"--","12","8","6","10","--","--","--","--","--","0","27","20","14","24","0","0","0","0","0"
288,"--","3","1","1","2","--","--","--","--","--","0","6","3","2","4","0","0","0","0","0"
289,"1","2","2","1","2","2","2","2","1","4","5","6","7","5","6","7","12","10","5","19"
290,"89","94","42","50","65","90","84","91","82","85","48","50","41","49","63","54","64","70","63","65"
291,"6","10","11","13","17","12","10","17","13","18","10","26","30","37","47","34","23","38","29","42"
292,"15","15","7","11","17","15","22","9","21","22","16","18","8","12","19","17","22","9","21","22"
293,"19","18","17","17","18","15","22","19","49","18","14","15","14","15","16","13","16","14","36","13"
294,"19","15","36","23","16","18","16","15","18","18","17","15","36","23","18","20","16","15","18","18"
295,"13","11","11","7","5","6","11","11","7","8","17","15","15","10","7","8","14","14","9","10"
296,"0","1","1","2","0","0","0","0","1","1","0","1","1","4","0","0","1","1","2","2"
297,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
298,"10","--","--","--","--","--","--","--","--","--","15","0","0","0","0","0","0","0","0","0"
299,"1","2","3","7","4","3","4","4","5","6","2","5","8","21","13","11","14","14","18","21"
300,"3","--","--","--","--","--","--","--","--","--","3","0","0","0","0","0","0","0","0","0"
301,"1","2","0","2","1","1","2","1","3","1","1","5","1","4","2","3","4","3","7","3"
302,"1","0","1","2","1","2","0","2","1","2","2","1","2","5","2","7","1","5","4","7"
303,"2","0","1","3","1","2","2","6","2","4","3","0","2","5","2","4","3","10","3","8"
304,"18","15","17","28","15","7","11","14","17","19","10","18","21","35","18","9","12","15","18","20"
305,"4","2","7","6","7","7","4","3","9","8","3","2","6","5","6","6","5","3","11","9"
306,"10","18","10","7","9","7","10","13","19","21","13","18","13","11","16","11","11","15","22","24"
307,"2","2","2","3","4","4","2","5","6","7","5","5","7","11","16","14","7","16","19","25"
308,"0","1","1","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","1","1"
309,"1","1","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","1","1","0"
310,"0","0","1","2","1","0","0","1","0","0","1","1","2","4","2","1","0","2","0","0"
311,"11","12","16","14","10","14","13","20","14","12","13","15","20","17","13","17","15","22","16","13"
312,"14","11","11","11","14","12","7","8","10","14","20","19","19","19","24","21","13","14","18","24"
313,"1","1","1","4","1","4","2","4","2","3","2","1","2","7","1","7","3","7","3","4"
